Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type,Reason
1,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620410793,1520620417028,0,570557,124991725,21062,2488,3570,160,2440,0,0,0,ShuffleMapTask,Success
0,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620410773,1520620417043,0,544204,147311268,21066,2484,3585,160,2440,0,0,0,ShuffleMapTask,Success
4,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620416989,1520620417301,0,614632,59608917,21063,296,4,0,2440,0,0,0,ShuffleMapTask,Success
3,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620411047,1520620417391,0,605708,77407881,21065,2168,4024,160,2440,0,0,0,ShuffleMapTask,Success
2,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620411045,1520620417391,0,591941,111907824,21065,2167,4029,160,2440,0,0,0,ShuffleMapTask,Success
5,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620416998,1520620417427,0,615764,69940745,21063,417,3,13,2440,0,0,0,ShuffleMapTask,Success
6,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620417298,1520620417701,0,616267,50916633,21061,384,3,13,2440,0,0,0,ShuffleMapTask,Success
7,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620417383,1520620417734,0,618979,55978855,21064,321,5,0,2440,0,0,0,ShuffleMapTask,Success
9,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620417425,1520620417888,0,618905,42141768,21066,444,10,0,2440,0,0,0,ShuffleMapTask,Success
8,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620417388,1520620418100,0,618964,66631202,21068,679,7,17,2440,0,0,0,ShuffleMapTask,Success
12,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620417886,1520620418124,0,621979,58301001,21065,225,3,24,2440,0,0,0,ShuffleMapTask,Success
10,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620417699,1520620418132,0,618466,32701315,21066,422,3,24,2440,0,0,0,ShuffleMapTask,Success
14,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620418123,1520620418373,0,617892,32908878,21065,237,3,16,2440,0,0,0,ShuffleMapTask,Success
11,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620417730,1520620418395,0,622080,64061694,21064,646,6,17,2440,0,0,0,ShuffleMapTask,Success
15,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620418131,1520620418457,0,620119,22659848,21063,316,2,16,2440,0,0,0,ShuffleMapTask,Success
13,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620418096,1520620418495,0,621759,60187578,21067,382,4,0,2440,0,0,0,ShuffleMapTask,Success
16,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620418370,1520620418673,0,620466,26306615,21068,288,2,26,2440,0,0,0,ShuffleMapTask,Success
19,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620418492,1520620418718,0,617989,23741529,21065,210,6,12,2440,0,0,0,ShuffleMapTask,Success
17,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620418391,1520620418792,0,618999,49517463,21062,387,2,12,2440,0,0,0,ShuffleMapTask,Success
18,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620418456,1520620418834,0,621358,36067917,21066,368,2,26,2440,0,0,0,ShuffleMapTask,Success
20,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620418669,1520620419010,0,620009,26045869,21070,328,1,11,2440,0,0,0,ShuffleMapTask,Success
23,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620418833,1520620419123,0,619055,19993048,21069,280,2,11,2440,0,0,0,ShuffleMapTask,Success
21,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620418715,1520620419257,0,618744,51155460,21064,532,2,19,2440,0,0,0,ShuffleMapTask,Success
22,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620418791,1520620419315,0,619619,49893006,21068,507,4,19,2440,0,0,0,ShuffleMapTask,Success
24,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620419008,1520620419356,0,620151,35677017,21062,335,2,15,2440,0,0,0,ShuffleMapTask,Success
25,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620419122,1520620419446,0,620660,28421993,21068,300,12,15,2440,0,0,0,ShuffleMapTask,Success
26,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620419255,1520620419495,0,620918,24632108,21068,229,2,12,2440,0,0,0,ShuffleMapTask,Success
27,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620419314,1520620419602,0,619775,26094084,21069,276,2,12,2440,0,0,0,ShuffleMapTask,Success
28,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620419354,1520620419653,0,621738,25303001,21066,285,2,9,2440,0,0,0,ShuffleMapTask,Success
29,cluster-danilo-spark-slave-java8-1.novalocal,0,ANY,1520620419443,1520620419681,0,622776,38535873,21067,226,2,9,2440,0,0,0,ShuffleMapTask,Success
30,cluster-danilo-spark-slave-java8-0.novalocal,1,ANY,1520620419492,1520620419852,0,623448,49313810,21066,348,2,21,2440,0,0,0,ShuffleMapTask,Success
