Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Shuffle Bytes Written,Shuffle Write Time,Shuffle Records Written,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type,Reason
5,bsintwn9.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S17,ANY,1511430670137,1511430682069,0,480944,333303352,21280,1759,9742,131,2357,0,0,0,ShuffleMapTask,Success
16,bsintwn10.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S16,ANY,1511430670146,1511430682315,0,480585,674939266,21278,2280,9765,114,2359,0,0,0,ShuffleMapTask,Success
3,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430670136,1511430682521,0,476702,746133209,21280,2817,9433,125,2358,0,0,0,ShuffleMapTask,Success
32,bsintwn10.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S16,ANY,1511430670155,1511430682541,0,481506,598413261,21278,2503,9777,114,2359,0,0,0,ShuffleMapTask,Success
38,bsintwn9.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S17,ANY,1511430682037,1511430682640,0,483492,258321169,21281,558,11,0,2357,0,0,0,ShuffleMapTask,Success
22,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430670149,1511430682802,0,481142,677313845,21281,2922,9424,125,2358,0,0,0,ShuffleMapTask,Success
40,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430682511,1511430682963,0,481778,186097950,21283,413,7,0,2358,0,0,0,ShuffleMapTask,Success
28,bsintwn11.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S15,ANY,1511430670153,1511430682964,0,482277,549561191,21276,2411,10277,102,2359,0,0,0,ShuffleMapTask,Success
12,bsintwn11.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S15,ANY,1511430670143,1511430682983,0,480174,545563814,21278,2438,10284,102,2359,0,0,0,ShuffleMapTask,Success
33,bsintwn12.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S14,ANY,1511430670155,1511430683157,0,480805,363504535,21280,3398,9494,140,2359,0,0,0,ShuffleMapTask,Success
42,bsintwn9.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S17,ANY,1511430682632,1511430683230,0,482370,221312503,21282,542,10,0,2357,0,0,0,ShuffleMapTask,Success
43,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430682794,1511430683347,0,483868,196815589,21278,505,25,0,2358,0,0,0,ShuffleMapTask,Success
39,bsintwn10.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S16,ANY,1511430682306,1511430683434,0,483491,328820599,21279,1085,5,0,2359,0,0,0,ShuffleMapTask,Success
4,bsintwn5.localdomain,d9c820f2-75f7-40d4-9186-a52d1ccf55e0-S3,ANY,1511430670137,1511430683579,0,477915,454943021,21281,3053,10279,143,2356,0,0,0,ShuffleMapTask,Success
18,bsintwn12.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S14,ANY,1511430670147,1511430683698,0,481398,374549670,21281,3952,9483,140,2359,0,0,0,ShuffleMapTask,Success
46,bsintwn11.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S15,ANY,1511430682975,1511430683702,0,482468,252867327,21282,687,4,0,2359,0,0,0,ShuffleMapTask,Success
45,bsintwn11.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S15,ANY,1511430682957,1511430683704,0,483284,238040257,21280,605,8,0,2359,0,0,0,ShuffleMapTask,Success
48,bsintwn9.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S17,ANY,1511430683222,1511430683732,0,483466,178453020,21276,470,10,0,2357,0,0,0,ShuffleMapTask,Success
44,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430682945,1511430683805,0,481326,325964946,21282,829,3,0,2358,0,0,0,ShuffleMapTask,Success
49,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430683339,1511430683841,0,482011,201951654,21281,481,3,0,2358,0,0,0,ShuffleMapTask,Success
41,bsintwn10.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S16,ANY,1511430682533,1511430683848,0,482456,437488854,21279,1091,10,0,2359,0,0,0,ShuffleMapTask,Success
50,bsintwn10.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S16,ANY,1511430683422,1511430683849,0,482961,210945735,21280,396,3,0,2359,0,0,0,ShuffleMapTask,Success
51,bsintwn5.localdomain,d9c820f2-75f7-40d4-9186-a52d1ccf55e0-S3,ANY,1511430683573,1511430683970,0,481928,153821030,21282,366,5,0,2356,0,0,0,ShuffleMapTask,Success
47,bsintwn12.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S14,ANY,1511430683150,1511430683973,0,483031,382533910,21280,790,7,0,2359,0,0,0,ShuffleMapTask,Success
55,bsintwn9.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S17,ANY,1511430683726,1511430684131,0,482535,169604185,21279,380,6,0,2357,0,0,0,ShuffleMapTask,Success
52,bsintwn12.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S14,ANY,1511430683692,1511430684285,0,482631,152767535,21276,541,12,0,2359,0,0,0,ShuffleMapTask,Success
54,bsintwn11.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S15,ANY,1511430683695,1511430684299,0,481498,299971432,21280,566,3,0,2359,0,0,0,ShuffleMapTask,Success
53,bsintwn11.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S15,ANY,1511430683694,1511430684338,0,481696,276655054,21277,603,8,0,2359,0,0,0,ShuffleMapTask,Success
31,bsintwn22.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S8,ANY,1511430670154,1511430684351,0,482109,649202301,21276,2597,11472,159,2358,0,0,0,ShuffleMapTask,Success
57,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430683835,1511430684544,0,482045,320123313,21280,656,4,47,2358,0,0,0,ShuffleMapTask,Success
56,bsintwn18.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S9,ANY,1511430683799,1511430684550,0,483292,167808450,21277,699,7,47,2358,0,0,0,ShuffleMapTask,Success
60,bsintwn5.localdomain,d9c820f2-75f7-40d4-9186-a52d1ccf55e0-S3,ANY,1511430683963,1511430684735,0,483081,200340258,21283,742,6,0,2356,0,0,0,ShuffleMapTask,Success
58,bsintwn10.localdomain,138c99c5-923b-4ab5-aee7-ca31dbcd391a-S16,ANY,1511430683842,1511430684871,0,481618,401898052,21282,985,3,59,2359,0,0,0,ShuffleMapTask,Success
