Experiment,Query,Run,SimAvg,SimDev,SimLower,SimUpper,SimAccuracy
1_24_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0094,887080.006,244.76519759379,887064.83529588,887095.17670412,3.4203688545739e-05
1_24_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0095,850944.186,120.06349790954,850936.7443873,850951.6276127,1.7490248644592e-05
1_24_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0097,815675.28,113.06803857703,815668.27197036,815682.28802964,1.7183381201552e-05
1_24_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0096,850119.039,144.40127263658,850110.0889164,850127.9890836,2.1056071427976e-05
1_24_4G_5,name,name,781989.438,44638.834844541,779222.69435199,784756.18164801,0.0070761662845243
1_12_2048M_1,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0049,302803.325,47.281765709968,302800.3944458,302806.2555542,1.9356156014447e-05
1_12_2048M_1,name,name,291574.642,30865.3292598,289661.58907264,293487.69492736,0.013122217448274
1_48_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0088,733430.663,243.56127271571,733415.56691592,733445.75908408,4.1165674806802e-05
1_48_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0087,653493.475,167.79450937229,653483.07498856,653503.87501144,3.1828967958079e-05
1_48_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0089,706465.764,500.40008437829,706434.74888144,706496.77911856,8.7803599655623e-05
1_48_4G_5,name,name,644487.201,31970.047016616,642505.67695669,646468.72504331,0.0061491494020017
1_36_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0091,741797.222,268.0027959877,741780.61101461,741813.83298539,4.4785784842135e-05
1_36_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0093,757285.666,222.9978352942,757271.84445097,757299.48754903,3.6502867141887e-05
1_36_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0090,827603.088,220.55058915797,827589.41813286,827616.75786714,3.3034838410948e-05
1_36_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0092,744482.569,199.87025088167,744470.18091351,744494.95708649,3.3279722078153e-05
1_36_4G_5,name,name,723876.859,38792.41701708,721472.48008315,726281.23791685,0.0066430605895475
1_12_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0098,1094249.078,86.89753810613,1094243.6920348,1094254.4639652,9.8441302268993e-06
1_12_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0101,1058800.814,134.95962123996,1058792.449116,1058809.178884,1.5800675399241e-05
1_12_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0099,1141972.751,78.582460670305,1141967.8804086,1141977.6215914,8.5301358879496e-06
1_12_4G_5,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0100,1037731.615,83.350386113289,1037726.4488895,1037736.7811105,9.9565444074755e-06
1_12_4G_5,name,name,1039256.814,59670.753793005,1035558.382363,1042955.245637,0.0071174546795449
1_24_2048M_1,name,138c99c5-923b-4ab5-aee7-ca31dbcd391a-0050,182085.762,32.902239403847,182083.72269807,182087.80130193,2.2399356255723e-05
1_24_2048M_1,name,name,188400.206,22621.937430016,186998.08379165,189802.32820835,0.014884508229757
