Run,Query,Executors,TotalCores,Memory,Datasize
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0094,name,1,24,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0096,name,1,24,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0095,name,1,24,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0097,name,1,24,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0049,name,1,12,2048M,1
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0089,name,1,48,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0088,name,1,48,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0087,name,1,48,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0091,name,1,36,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0090,name,1,36,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0093,name,1,36,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0092,name,1,36,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0098,name,1,12,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0100,name,1,12,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0101,name,1,12,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0099,name,1,12,4G,5
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0050,name,1,24,2048M,1
